epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,140.992,2.19955,3.4102,2.26148,0.79699,0.03949,0.08899,0.0295,2.14295,3.29008,2.21631,0.000281403,0.000281403,0.000281403
2,316.875,1.81473,2.65115,2.00505,0.31166,0.23188,0.20155,0.08185,2.0889,3.1255,2.26446,0.0005638,0.0005638,0.0005638
3,489.484,1.78653,2.47956,1.98492,0.1383,0.11922,0.0799,0.03395,2.49151,3.78953,2.92319,0.000842767,0.000842767,0.000842767
4,673.784,1.7831,2.42102,1.97602,0.20836,0.35832,0.18937,0.08024,2.15295,4.59611,2.54663,0.0011183,0.0011183,0.0011183
5,804.661,1.78176,2.36876,1.98695,0.35801,0.24419,0.22809,0.10315,2.20259,5.45366,2.51616,0.00139041,0.00139041,0.00139041
6,939.997,1.76,2.30781,1.96694,0.3693,0.3566,0.30795,0.12948,2.12078,3.37528,2.43151,0.00138613,0.00138613,0.00138613
7,1069.47,1.73855,2.24193,1.94486,0.44281,0.42414,0.38004,0.16048,1.99559,2.42985,2.3674,0.00137756,0.00137756,0.00137756
8,1209.55,1.68784,2.16704,1.90819,0.42313,0.41829,0.38075,0.17809,1.96804,2.90842,2.21035,0.00136898,0.00136898,0.00136898
9,1378.72,1.67446,2.13211,1.90066,0.52393,0.4096,0.42541,0.20139,1.92588,2.02582,2.12141,0.00136041,0.00136041,0.00136041
10,1517.02,1.6487,2.09957,1.87433,0.49866,0.47428,0.4755,0.21767,1.76286,2.15179,1.98557,0.00135183,0.00135183,0.00135183
11,1657.54,1.62499,2.01706,1.84727,0.53008,0.51163,0.54403,0.26943,1.78316,1.81665,2.01018,0.00134326,0.00134326,0.00134326
12,1797.16,1.60898,1.96981,1.83114,0.59215,0.46455,0.49909,0.26774,1.71174,2.09961,1.98049,0.00133469,0.00133469,0.00133469
13,1929.22,1.59075,1.96045,1.8228,0.59879,0.51611,0.54509,0.26245,1.72539,2.13153,1.95306,0.00132611,0.00132611,0.00132611
14,2065.51,1.58921,1.95337,1.82289,0.62957,0.57121,0.60815,0.31331,1.72963,1.67624,1.91395,0.00131754,0.00131754,0.00131754
15,2280.18,1.56354,1.8993,1.79695,0.64787,0.53285,0.59683,0.29978,1.7603,1.74486,1.96538,0.00130896,0.00130896,0.00130896
16,2411.01,1.56042,1.87621,1.79728,0.69411,0.5554,0.6286,0.32222,1.68932,1.7644,1.91589,0.00130039,0.00130039,0.00130039
17,2541.36,1.54495,1.84799,1.78179,0.66206,0.57349,0.61335,0.30372,1.57428,1.58837,1.83079,0.00129182,0.00129182,0.00129182
18,2670.65,1.55333,1.83878,1.7711,0.76321,0.61778,0.71721,0.38791,1.61614,1.38941,1.85058,0.00128324,0.00128324,0.00128324
19,2802.55,1.52928,1.81614,1.76434,0.58138,0.49679,0.52717,0.26626,1.6844,1.78991,1.8628,0.00127467,0.00127467,0.00127467
20,2931.89,1.51921,1.76023,1.75093,0.73091,0.6447,0.72554,0.40658,1.572,1.35091,1.8161,0.00126609,0.00126609,0.00126609
21,3062.6,1.50247,1.76175,1.74585,0.69951,0.5752,0.63602,0.33758,1.61237,1.6125,1.9043,0.00125752,0.00125752,0.00125752
22,3198.13,1.49839,1.74298,1.73249,0.77434,0.63868,0.74646,0.40699,1.51211,1.33265,1.75634,0.00124895,0.00124895,0.00124895
23,3346.44,1.49453,1.71556,1.73703,0.74345,0.63579,0.73125,0.4187,1.42587,1.36715,1.71862,0.00124037,0.00124037,0.00124037
24,3494.21,1.48994,1.70663,1.72316,0.70489,0.66857,0.73274,0.40284,1.59362,1.34389,1.877,0.0012318,0.0012318,0.0012318
25,3631.06,1.48392,1.67756,1.71604,0.72448,0.65326,0.71756,0.41148,1.41697,1.40563,1.64293,0.00122322,0.00122322,0.00122322
26,3764.78,1.46346,1.65617,1.70702,0.75055,0.64434,0.72933,0.4196,1.5835,1.34633,1.8358,0.00121465,0.00121465,0.00121465
27,3900.83,1.47257,1.66526,1.69845,0.75596,0.67286,0.75757,0.41726,1.52853,1.35093,1.7968,0.00120608,0.00120608,0.00120608
28,4036.25,1.46615,1.64751,1.70643,0.8027,0.70158,0.79176,0.47506,1.41225,1.14184,1.69997,0.0011975,0.0011975,0.0011975
29,4172.59,1.44059,1.61058,1.68735,0.80202,0.66699,0.76808,0.44293,1.4506,1.32316,1.69115,0.00118893,0.00118893,0.00118893
30,4307.46,1.45289,1.628,1.70045,0.7962,0.72775,0.80384,0.49161,1.41114,1.2536,1.69771,0.00118035,0.00118035,0.00118035
31,4436.31,1.4377,1.58206,1.67122,0.81946,0.68508,0.78779,0.47061,1.39713,1.17291,1.63356,0.00117178,0.00117178,0.00117178
32,4568.6,1.43263,1.59385,1.67908,0.77973,0.70296,0.78947,0.44765,1.56049,1.44704,1.79429,0.00116321,0.00116321,0.00116321
33,4696.92,1.42388,1.56483,1.67161,0.76488,0.66387,0.75186,0.36498,1.75797,1.4595,1.89445,0.00115463,0.00115463,0.00115463
34,4826.97,1.43259,1.56715,1.67014,0.80568,0.68697,0.79309,0.44122,1.72157,1.18146,1.96206,0.00114606,0.00114606,0.00114606
35,4956.13,1.421,1.56777,1.666,0.82394,0.72153,0.81501,0.51216,1.34218,1.08736,1.64104,0.00113748,0.00113748,0.00113748
36,5088.82,1.40412,1.52439,1.65325,0.84505,0.72418,0.82616,0.48844,1.51252,1.08843,1.75863,0.00112891,0.00112891,0.00112891
37,5218,1.40517,1.52359,1.64586,0.80227,0.76604,0.83641,0.52397,1.34401,1.09154,1.59964,0.00112034,0.00112034,0.00112034
38,5345.58,1.40466,1.52652,1.65223,0.80428,0.73287,0.81994,0.49692,1.39613,1.08111,1.64449,0.00111176,0.00111176,0.00111176
39,5473.23,1.39979,1.52345,1.65093,0.83052,0.72682,0.82331,0.51045,1.39098,1.03536,1.62681,0.00110319,0.00110319,0.00110319
40,5605.76,1.38123,1.46826,1.61962,0.8542,0.76044,0.85961,0.56536,1.32058,1.03094,1.60357,0.00109461,0.00109461,0.00109461
41,5735.32,1.37221,1.46493,1.61668,0.82805,0.74682,0.82129,0.46183,1.46932,1.1109,1.6605,0.00108604,0.00108604,0.00108604
42,5873.79,1.36677,1.44842,1.60561,0.83674,0.73919,0.82333,0.44906,1.54471,1.06905,1.68331,0.00107747,0.00107747,0.00107747
43,6010.37,1.38103,1.47319,1.6281,0.83117,0.73221,0.81726,0.47343,1.42074,1.01473,1.57788,0.00106889,0.00106889,0.00106889
44,6147.36,1.36414,1.45254,1.60941,0.8643,0.74505,0.85129,0.55538,1.25012,1.05321,1.56212,0.00106032,0.00106032,0.00106032
45,6276.61,1.36981,1.44181,1.61186,0.82369,0.75544,0.83148,0.51177,1.57834,1.08654,1.80293,0.00105174,0.00105174,0.00105174
46,6411.99,1.34954,1.42092,1.59831,0.83524,0.76122,0.8478,0.52854,1.38526,0.92741,1.57031,0.00104317,0.00104317,0.00104317
47,6540.67,1.35482,1.40753,1.59531,0.86491,0.76786,0.85987,0.55476,1.39516,0.90705,1.62969,0.0010346,0.0010346,0.0010346
48,6674.84,1.36206,1.42254,1.6078,0.83572,0.79434,0.86276,0.56968,1.35975,0.97846,1.57179,0.00102602,0.00102602,0.00102602
49,6803.58,1.34653,1.39808,1.58904,0.87335,0.75527,0.86135,0.54676,1.42533,1.00076,1.59133,0.00101745,0.00101745,0.00101745
50,6938.82,1.33926,1.39318,1.58558,0.86231,0.77689,0.86958,0.57543,1.31075,0.9192,1.53497,0.00100887,0.00100887,0.00100887
51,7066.09,1.33471,1.39024,1.58508,0.84213,0.77059,0.85155,0.49614,1.50819,1.00927,1.6649,0.0010003,0.0010003,0.0010003
52,7199.98,1.34453,1.39641,1.58186,0.85213,0.77158,0.86073,0.50517,1.54155,1.00274,1.78117,0.000991726,0.000991726,0.000991726
53,7328.19,1.33609,1.38365,1.57857,0.85669,0.77722,0.86408,0.55181,1.32207,0.91224,1.47114,0.000983152,0.000983152,0.000983152
54,7457.42,1.31724,1.34449,1.56627,0.85471,0.77224,0.86292,0.53642,1.42083,1.02791,1.5984,0.000974578,0.000974578,0.000974578
55,7596.29,1.32332,1.36807,1.57558,0.85693,0.80624,0.88362,0.59556,1.25382,0.89751,1.49842,0.000966004,0.000966004,0.000966004
56,7738.42,1.33117,1.36805,1.56929,0.86483,0.79526,0.87195,0.57197,1.28906,0.93413,1.46563,0.00095743,0.00095743,0.00095743
57,7868.57,1.31269,1.34231,1.56563,0.87866,0.80315,0.8805,0.57384,1.32392,0.95708,1.56927,0.000948856,0.000948856,0.000948856
58,8000.48,1.32498,1.36161,1.57387,0.86937,0.80572,0.88215,0.58774,1.32807,0.92163,1.55949,0.000940282,0.000940282,0.000940282
59,8135.3,1.30591,1.33075,1.55117,0.86162,0.77785,0.87053,0.54322,1.45717,0.97038,1.64608,0.000931708,0.000931708,0.000931708
60,8266.2,1.31129,1.32818,1.56243,0.88384,0.80529,0.88709,0.59826,1.26753,0.87189,1.45499,0.000923134,0.000923134,0.000923134
61,8399.11,1.29767,1.31227,1.54641,0.87128,0.81343,0.88815,0.60503,1.26452,0.83242,1.52603,0.00091456,0.00091456,0.00091456
62,8531.2,1.31001,1.34323,1.56049,0.86496,0.79764,0.87673,0.55188,1.42378,0.92874,1.60076,0.000905986,0.000905986,0.000905986
63,8662.05,1.29436,1.31291,1.54868,0.90409,0.8048,0.89429,0.60756,1.28095,0.825,1.47444,0.000897412,0.000897412,0.000897412
64,8795.98,1.29569,1.30632,1.5456,0.89181,0.805,0.88499,0.58214,1.32908,0.85946,1.51078,0.000888838,0.000888838,0.000888838
65,8935.33,1.28645,1.2786,1.54031,0.86933,0.80281,0.87961,0.58729,1.34592,0.93897,1.5205,0.000880264,0.000880264,0.000880264
66,9073.65,1.29006,1.29988,1.54498,0.89277,0.81061,0.88588,0.54625,1.36749,0.97698,1.51969,0.00087169,0.00087169,0.00087169
67,9201.94,1.28513,1.29195,1.53606,0.91137,0.80148,0.89478,0.58684,1.30507,0.88478,1.50317,0.000863116,0.000863116,0.000863116
68,9337.43,1.27708,1.2773,1.53053,0.86894,0.82791,0.89386,0.61683,1.2352,0.87265,1.42128,0.000854542,0.000854542,0.000854542
69,9470.07,1.27321,1.25354,1.52113,0.89989,0.81013,0.89431,0.61347,1.3736,0.86157,1.58767,0.000845968,0.000845968,0.000845968
70,9603.61,1.28042,1.27592,1.53557,0.89552,0.79904,0.88513,0.5791,1.38052,0.90752,1.53418,0.000837394,0.000837394,0.000837394
71,9745.55,1.27377,1.26121,1.52092,0.88597,0.81706,0.89281,0.59251,1.41544,0.87877,1.55206,0.00082882,0.00082882,0.00082882
72,9880.83,1.26653,1.25106,1.51023,0.89943,0.81755,0.89894,0.57385,1.40521,0.95543,1.54855,0.000820246,0.000820246,0.000820246
73,10008.6,1.27478,1.26366,1.52091,0.89313,0.83022,0.90107,0.5999,1.29096,0.91977,1.48184,0.000811672,0.000811672,0.000811672
74,10139,1.26076,1.25073,1.51216,0.89478,0.83662,0.90574,0.62491,1.26042,0.81361,1.46032,0.000803098,0.000803098,0.000803098
75,10266.7,1.2597,1.24558,1.50866,0.87889,0.82922,0.90066,0.61503,1.36594,0.89349,1.59644,0.000794524,0.000794524,0.000794524
76,10410.4,1.2642,1.25812,1.51403,0.87983,0.837,0.89957,0.61519,1.34383,0.87056,1.52416,0.00078595,0.00078595,0.00078595
77,10539.8,1.25458,1.23819,1.51362,0.90425,0.82257,0.90429,0.61908,1.16378,0.79576,1.36593,0.000777376,0.000777376,0.000777376
78,10668.7,1.25771,1.22941,1.50815,0.90307,0.83289,0.9045,0.6021,1.27163,0.75674,1.45468,0.000768802,0.000768802,0.000768802
79,10796.9,1.24831,1.22708,1.51078,0.8973,0.8381,0.90707,0.61599,1.2172,0.86261,1.39096,0.000760228,0.000760228,0.000760228
80,10932.9,1.24642,1.2171,1.50438,0.91261,0.82945,0.90532,0.62692,1.18278,0.8074,1.43286,0.000751654,0.000751654,0.000751654
81,11061.8,1.2408,1.21401,1.49775,0.88447,0.83888,0.91064,0.6193,1.2776,0.8473,1.5379,0.00074308,0.00074308,0.00074308
82,11191.6,1.23924,1.20823,1.49415,0.90256,0.83418,0.90513,0.612,1.29321,0.82352,1.43775,0.000734506,0.000734506,0.000734506
83,11320.2,1.24643,1.21225,1.49655,0.88643,0.83985,0.90182,0.60198,1.22177,0.82562,1.44589,0.000725932,0.000725932,0.000725932
84,11453.7,1.22932,1.19993,1.48455,0.90268,0.83813,0.90785,0.60021,1.23873,0.79022,1.43171,0.000717358,0.000717358,0.000717358
